,Campground Monthly Precipitation (mm),,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
1982,,,,,,,2.9,6.0,79.9,0.0,15.9,46.8,151.5
1983,15.2,47.0,48.2,0.9,0.0,0.0,2.0,158.6,66.8,3.4,3.4,23.4,368.9
1984,5.0,0.0,0.0,0.0,0.0,0.0,62.7,30.6,0.0,0.0,12.6,30.6,141.5
1985,7.5,5.3,0.0,0.0,0.0,0.0,2.6,0.0,11.1,0.0,38.1,7.8,72.4
1986,2.4,50.8,20.2,3.6,0.0,0.0,19.5,0.0,1.4,16.2,8.6,2.0,124.7
1987,10.5,13.8,4.1,0.0,0.0,0.0,2.4,0.0,0.4,27.0,35.0,20.6,113.8
1988,24.6,21.6,0.2,7.2,0.0,0.3,1.2,40.0,0.0,0.0,0.0,5.4,100.5
1989,22.8,1.0,0.2,0.0,0.0,0.0,11.8,24.6,0.0,0.0,0.0,2.9,63.3
1990,6.5,4.9,0.0,1.3,0.9,5.2,0.0,9.2,1.4,4.6,0.0,1.4,35.4
1991,9.2,26.6,58.9,0.0,0.0,0.0,6.7,7.2,9.4,0.3,0.7,23.6,142.6
1992,8.1,58.6,58.4,13.0,9.2,0.0,0.0,0.4,0.0,17.6,0.0,41.6,206.9
1993,83.0,43.7,0.2,0.0,23.2,0.0,0.0,0.8,0.0,0.0,8.0,0.3,159.2
1994,0.0,23.6,14.2,1.2,0.0,0.0,0.0,9.9,0.0,0.0,0.2,9.4,58.5
1995,89.7,8.2,8.7,0.7,0.0,0.0,7.4,2.0,6.6,0.0,0.0,2.8,126.1
1996,1.0,11.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.8,28.9
1997,19.2,0.1,0.0,4.4,0.0,0.0,37.9,0.0,54.8,0.0,2.4,7.7,126.5
1998,7.8,59.0,16.2,0.0,0.0,0.0,0.6,6.8,2.0,1.2,0.4,5.2,99.2
1999,0.0,7.6,0.0,9.4,0.0,0.0,27.0,0.0,7.4,0.0,0.0,0.0,51.4
2000,0.0,9.8,6.5,0.0,0.0,0.0,0.0,19.4,1.4,1.8,0.0,0.0,38.9
2001,9.8,42.4,14.8,1.0,0.0,0.0,13.4,0.0,0.0,0.0,4.2,1.8,87.4
2002,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,3.2,10.0,16.5
2003,5.4,18.2,18.4,0.0,0.0,0.0,2.2,13.0,0.0,0.0,25.6,2.8,85.6
2004,2.0,23.5,5.8,1.6,0.0,0.0,0.0,1.5,0.9,21.5,32.2,46.0,135.0
2005,50.0,47.0,0.6,0.0,0.0,0.0,0.2,15.2,1.2,38.8,0.0,0.0,153.0
2006,0.9,3.0,16.5,1.2,0.0,0.6,0.0,0.0,9.4,0.3,0.0,2.8,34.7
2007,0.5,0.3,0.3,0.0,0.0,0.0,0.0,5.3,0.0,0.0,4.1,32.2,42.7
2008,40.7,1.8,0.0,0.0,0.0,0.0,23.6,8.9,0.0,0.0,12.2,59.9,147.1
2009,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,52.5
2010,94.6,12.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,44.1,178.1
2011,0.5,20.1,0.9,0.0,0.0,0.0,0.3,4.5,23.8,0.0,8.1,2.5,60.7
2012,0.4,15.8,5.6,4.3,0.0,0.0,3.3,11.5,0.2,0.0,0.0,4.6,45.7
2013,14.9,3.3,0.5,0.0,0.0,0.0,0.3,57.1,0.8,0.0,3.3,0.0,80.2
2014,0.0,0.1,7.0,0.5,6.1,0.0,0.9,2.6,12.8,0.0,0.3,9.6,39.9
2015,7.6,1.0,15.8,1.2,2.3,0.0,13.6,0.0,0.7,20.3,0.8,3.0,66.3
2016,39.2,0.8,0.0,5.4,0.0,0.0,0.0,0.0,9.4,5.0,2.7,32.0,94.5
2017,59.6,35.3,0.0,0.0,3.8,0.0,0.0,0.5,,,,,
,,,,,,,,,,,,,
