source: https://wrcc.dri.edu/cgi-bin/rawMAIN.pl?caucja%27,,,,,,,,,,,,,,
Date,Year,DayofYear,DayofRun,Totalsolarradiation_kwhr/m2,MeanWindSpeed_m/s,MeanWindDirection_Deg,Max_windgus_m/s,AverageAirTemp_C,MaxAverageAirTemp_C,MinAverageAirTemp_C,Avg_AverageRelativeHumidity,Max_AverageRelativeHumidity_%,Min_AverageRelativeHumidity_%,TotalPrecip_mm
10/1/15,2015,274,1,3.428,0.25,44,2.97,14.2,22.2,7.6,60,87,28,0
10/2/15,2015,275,2,3.776,0.23,11,1.79,11.1,19.6,3.8,67,89,36,0
10/3/15,2015,276,3,3.678,0.24,69,1.55,12,20.3,6.8,65,82,37,0
10/4/15,2015,277,4,0.621,0.29,8,1.83,8.7,11,6.4,91,98,75,28.45
10/5/15,2015,278,5,1.425,0.19,51,1.28,7.3,9.6,4.3,96,98,87,13.46
10/6/15,2015,279,6,1.314,0.18,23,1.22,7.5,12.9,2.9,94,99,76,0
10/7/15,2015,280,7,3.392,0.35,17,3.13,12.1,20.3,5,71,98,33,0
10/8/15,2015,281,8,3.281,0.38,51,2.78,15.7,23.9,8.8,56,87,24,0
10/9/15,2015,282,9,3.253,0.41,38,3.07,18.2,25.1,11,44,73,22,0
10/10/15,2015,283,10,2.805,0.21,39,1.75,14.9,23.7,9.4,62,81,31,0
10/11/15,2015,284,11,3.044,0.21,30,1.84,15.4,25.1,8.9,61,81,29,0
10/12/15,2015,285,12,1.448,0.15,34,1.26,15.9,23.1,10.5,68,83,41,0
10/13/15,2015,286,13,3.03,0.2,20,1.76,16,23.8,10.3,70,88,41,0
10/14/15,2015,287,14,3.072,0.21,34,1.43,15.5,24.2,9.4,73,88,47,0
10/15/15,2015,288,15,1.478,0.21,28,2.05,14.8,19.4,11.6,87,96,41,1.78
10/16/15,2015,289,16,3.061,0.22,35,1.75,14,20.6,10,90,97,64,0
10/17/15,2015,290,17,1.232,0.17,39,1.65,12.8,18.4,8.5,92,97,72,10.16
10/18/15,2015,291,18,1.167,0.22,62,1.2,11.3,14.5,5.4,96,97,86,0
10/19/15,2015,292,19,1.859,0.2,58,1.19,7.6,11.7,3,92,99,76,0
10/20/15,2015,293,20,1.792,0.32,338,2.22,9.2,15.2,4.5,79,98,47,0
10/21/15,2015,294,21,2.14,0.26,36,1.78,9.7,16.2,4.5,74,91,47,0
10/22/15,2015,295,22,2.912,0.2,32,1.42,8.7,16.6,3.7,81,96,41,0
10/23/15,2015,296,23,2.795,0.28,41,2.4,10.5,19.2,3.7,63,93,33,0
10/24/15,2015,297,24,2.697,0.24,44,2.1,11.9,20.3,5,44,62,22,0
10/25/15,2015,298,25,1.44,0.14,32,0.93,9.9,17.1,5.1,59,73,35,0
10/26/15,2015,299,26,2.798,0.19,35,1.41,10.1,21.1,3.9,53,74,19,0
10/27/15,2015,300,27,2.527,0.18,43,1.61,10.6,20.7,3.5,45,61,20,0
10/28/15,2015,301,28,1.899,0.19,35,1.82,10.8,18.1,5.7,53,87,28,0
10/29/15,2015,302,29,2.503,0.23,38,1.99,8.3,15.8,2.6,71,96,38,0
10/30/15,2015,303,30,2.548,0.26,43,1.71,7.7,16.8,0.4,49,84,22,0
10/31/15,2015,304,31,2.477,0.25,33,2.44,12.5,21.2,6.2,38,54,18,0
11/1/15,2015,305,32,2.499,0.25,42,1.46,11.9,22.7,5.8,41,59,16,0
11/2/15,2015,306,33,2.478,0.35,51,2.02,8.7,17.2,4,63,98,17,26.67
11/3/15,2015,307,34,1.891,0.29,64,1.61,3,5.9,0.2,93,99,70,10.41
11/4/15,2015,308,35,1.313,0.22,44,1.73,1.4,5.6,-2.7,93,100,58,0
11/5/15,2015,309,36,2.353,0.18,22,1.77,0.6,9.4,-4.2,78,98,33,0
11/6/15,2015,310,37,2.385,0.23,40,1.9,3.1,13.4,-2.2,68,91,24,0
11/7/15,2015,311,38,2.356,0.2,40,1.26,3.8,14.9,-1.5,61,80,19,0
11/8/15,2015,312,39,2.333,0.2,41,1.35,4.2,14.2,-1.4,63,82,24,0
11/9/15,2015,313,40,0.59,0.27,63,1.51,3.1,9.6,-1,82,98,38,1.02
11/10/15,2015,314,41,1.753,0.28,41,1.78,1,5.4,-3.4,91,99,55,3.56
11/11/15,2015,315,42,2.301,0.29,29,3.45,1.7,12.5,-4.3,62,97,9,0
11/12/15,2015,316,43,2.185,0.21,41,1.34,2.7,15.2,-3,55,74,17,0.25
11/13/15,2015,317,44,2.201,0.19,34,1.11,3.9,15.7,-1.5,49,66,12,0
11/14/15,2015,318,45,2.157,0.19,39,1.26,3.9,15.3,-1.4,51,68,16,0
11/15/15,2015,319,46,0.85,0.42,49,2.86,3.6,8.1,0.4,78,100,46,1.27
11/16/15,2015,320,47,2.068,0.3,63,2.86,-1.3,3.3,-4.3,80,100,42,0
11/17/15,2015,321,48,2.006,0.32,35,2.89,3.5,14.3,-4.8,54,84,16,0
11/18/15,2015,322,49,1.955,0.22,43,1.15,6.2,17.6,0.5,56,75,17,0
11/19/15,2015,323,50,1.977,0.2,36,1.58,7.3,19.4,1.7,45,63,15,0
11/20/15,2015,324,51,1.929,0.25,46,2.39,9.1,20.1,1.9,44,64,17,0
11/21/15,2015,325,52,1.835,0.18,43,1.65,7.8,18.4,2.9,50,64,22,0
11/22/15,2015,326,53,1.835,0.17,43,1.22,6.8,18.2,2,51,69,18,0
11/23/15,2015,327,54,1.789,0.21,47,1.79,6,16.3,1.1,51,68,21,0
11/24/15,2015,328,55,1.769,0.32,74,2,5.1,12.4,1.5,59,91,27,0
11/25/15,2015,329,56,1.429,0.34,86,1.87,1.4,4.2,-2.1,93,99,74,8.64
11/26/15,2015,330,57,0.848,0.24,97,1.44,0.2,3,-2.5,90,98,70,0
11/27/15,2015,331,58,0.727,0.14,15,0.97,-0.9,1.8,-3.4,94,99,75,3.05
11/28/15,2015,332,59,1.821,0.18,20,1.57,-1.9,3.8,-5.5,85,97,51,0.25
11/29/15,2015,333,60,1.857,0.17,25,1.36,-0.8,6.2,-5,77,94,40,0
11/30/15,2015,334,61,1.558,0.18,36,1.4,-1.2,8.7,-5.4,64,84,22,0
12/1/15,2015,335,62,1.792,0.2,36,1.36,1.3,11.8,-2.9,67,92,21,0
12/2/15,2015,336,63,1.757,0.18,46,1.23,2.9,14.5,-2,62,78,17,0
12/3/15,2015,337,64,1.569,0.18,45,1.23,4.5,16.5,-0.1,54,75,13,0
12/4/15,2015,338,65,0.974,0.22,40,1.5,2.8,10.3,-1.9,68,88,43,0
12/5/15,2015,339,66,1.71,0.19,45,0.97,3.1,15.5,-2.3,51,63,21,0
12/6/15,2015,340,67,1.397,0.18,41,1.03,5.6,17.2,-0.6,50,66,17,0
12/7/15,2015,341,68,1.543,0.18,42,1.14,6.6,17.6,1.8,53,68,16,0
12/8/15,2015,342,69,1.688,0.18,44,1.06,8.8,19.8,4.1,53,70,19,0
12/9/15,2015,343,70,1.55,0.18,42,1,8.3,18.8,4.2,51,67,22,0
12/10/15,2015,344,71,1.684,0.29,64,1.61,7.3,14.9,3.5,54,96,17,0.51
12/11/15,2015,345,72,0.273,0.37,65,2.46,1.5,6.1,-3.3,99,100,97,21.84
12/12/15,2015,346,73,1.641,0.18,48,0.81,-2.5,3,-5.9,96,99,79,0
12/13/15,2015,347,74,1.745,0.34,53,2.19,0.8,6.7,-3.5,93,99,66,23.62
12/14/15,2015,348,75,1.17,0.29,45,2.38,-3,0.5,-6.7,92,100,72,0
12/15/15,2015,349,76,1.721,0.22,28,1.82,-4,2.2,-8.5,75,96,36,0
12/16/15,2015,350,77,1.738,0.22,39,1.99,-2.8,3.6,-7.3,67,87,35,0
12/17/15,2015,351,78,1.666,0.18,44,1.14,-0.6,9,-5.1,75,94,26,0
12/18/15,2015,352,79,1.694,0.18,46,0.95,1.2,9.5,-1.9,85,97,48,0
12/19/15,2015,353,80,1.737,0.32,62,2.09,2.2,9.4,-1.4,85,99,33,11.18
12/20/15,2015,354,81,1.093,0.24,69,1.46,-0.7,2.6,-3.4,97,100,82,0
12/21/15,2015,355,82,1.88,0.25,61,1.4,1.7,8,-2.5,92,99,61,0
12/22/15,2015,356,83,0.177,0.54,35,15,5.5,6.9,3.5,98,99,98,75.69
12/23/15,2015,357,84,1.746,0.4,35,2.23,3.9,6.9,-0.1,96,100,75,0
12/24/15,2015,358,85,1.458,0.29,83,2.35,0.4,4.3,-3,95,100,78,0.25
12/25/15,2015,359,86,1.751,0.36,59,2.43,-1.6,0.8,-5,83,100,51,1.52
12/26/15,2015,360,87,1.806,0.72,58,5.61,-1.2,2.2,-4.5,28,66,8,0
12/27/15,2015,361,88,1.551,0.3,45,2.65,-1.1,5.8,-5.9,46,68,12,0
12/28/15,2015,362,89,1.196,0.24,56,1.53,-3.5,1.9,-7.4,74,99,31,8.64
12/29/15,2015,363,90,1.708,0.18,51,1.43,-4.4,3.1,-8.8,90,97,61,0
12/30/15,2015,364,91,1.731,0.18,46,1.12,-3.5,5.1,-7.8,84,96,51,0
12/31/15,2015,365,92,1.703,0.18,46,1.81,-2.9,5.4,-7.2,77,96,37,0
1/1/16,2016,1,93,1.703,0.19,42,1.37,-1.8,6.2,-6.9,74,90,31,0
1/2/16,2016,2,94,1.497,0.23,44,1.23,1.2,10.2,-3.1,72,86,30,0
1/3/16,2016,3,95,1.066,0.28,40,1.65,2.3,10.5,-0.9,70,85,23,0
1/4/16,2016,4,96,0.774,0.19,114,1.6,3.5,6.4,1.7,89,96,76,0.25
1/5/16,2016,5,97,0.235,0.36,42,3.28,2.4,4,0.3,98,100,94,67.56
1/6/16,2016,6,98,0.341,0.39,55,8.56,0.2,1.3,-0.9,100,100,100,58.42
1/7/16,2016,7,99,0.092,0.42,48,11.85,-0.8,-0.1,-1.3,100,100,100,21.59
1/8/16,2016,8,100,1.38,0.13,55,0.93,-2.7,0.5,-6.5,99,100,96,0
1/9/16,2016,9,101,1.194,0.21,51,0.96,-1.8,1.4,-5.7,98,100,97,0
1/10/16,2016,10,102,1.38,0.25,50,2.61,0.8,3.8,-1.1,97,100,69,0
1/11/16,2016,11,103,1.943,0.28,34,2.26,0.1,5.9,-4.2,78,97,26,0
1/12/16,2016,12,104,1.993,0.21,38,1.84,-1.1,7.4,-4.4,87,98,50,0
1/13/16,2016,13,105,1.561,0.22,40,1.58,-0.3,5.9,-4.1,86,99,53,0
1/14/16,2016,14,106,1.875,0.27,53,1.71,0.9,10.3,-3.2,76,94,26,0
1/15/16,2016,15,107,1.142,0.29,56,2.41,0.4,5,-2.4,93,99,80,0
1/16/16,2016,16,108,1.979,0.27,55,1.96,2.3,11.1,-2.6,85,97,52,0
1/17/16,2016,17,109,1.699,0.22,49,1.44,2,9.9,-0.6,90,99,46,0
1/18/16,2016,18,110,1.455,0.26,53,2.06,2.1,8,-0.8,86,98,52,0
1/19/16,2016,19,111,1.21,0.25,59,1.59,3.1,9.4,-1.5,85,99,54,4.32
1/20/16,2016,20,112,1.988,0.23,51,1.99,1.8,9.2,-0.9,94,100,62,0
1/21/16,2016,21,113,2.114,0.23,48,1.29,2.3,12.3,-1.7,82,97,38,0
1/22/16,2016,22,114,1.843,0.22,48,1.18,3.3,12.8,-0.9,76,90,30,0
1/23/16,2016,23,115,1.094,0.2,50,1.48,3.3,8.2,0.1,81,97,44,0
1/24/16,2016,24,116,2.061,0.22,38,1.52,0.3,7.4,-3.8,83,98,53,0
1/25/16,2016,25,117,1.959,0.23,34,2.65,1.3,9,-2.8,69,89,36,0
1/26/16,2016,26,118,2.185,0.45,52,4.43,4.3,12.6,-3,37,78,8,0
