"","SampleID","Site","LitterOrigin","MicrobialOrigin","Replicate","Timepoint","Date","Collection","FullBag","EmptyBag","BagDiff","EmptyContainer","FullContainer","ContainerDiff","DNAWetWeight","HydrolyticWetWeight","OxidativeWetWeight","BactWetWeight","LitterWetWeight","LitterDryWeight","WetLitterPlusEnvWeight","EnvWeight","DryLitterPlusEnvWeight","HyphaeWetWeight","Sample","Type","Rep","DryToWet","Initial.Mass","Wet.Mass.Rem","Wet.Mass.Rem2","Mass.loss"
"201","1C02","1:Desert","Grassland","Sterile",2,2,"10/25/16","10/24/16",15.83,7.74,8.09,47.85,59.87,12.02,NA,NA,NA,0.2,2.94,0.88,NA,1.08,1.96,0.19,"1C","C",2,0.299319727891156,5,12.02,8.09,28.043537414966
"202","1C03","1:Desert","Grassland","Sterile",3,2,"10/25/16","10/24/16",21.29,7.7,13.59,48.04,61.51,13.47,NA,NA,NA,0.21,2.04,0.51,NA,1.07,1.58,0.21,"1C","C",3,0.25,5,13.47,13.59,32.65
"203","1C04","1:Desert","Grassland","Sterile",4,2,"10/25/16","10/24/16",16.92,7.84,9.08,49,56.82,7.82,NA,NA,NA,0.19,2.2,1.09,NA,1.11,2.2,0.19,"1C","C",4,0.495454545454545,5,7.82,9.08,22.5109090909091
"204","1D01","1:Desert","Grassland","1:Desert",1,2,"10/25/16","10/24/16",15.39,8.07,7.32,47.33,54.47,7.14,NA,0.948,0.492,0.182,2.052,1.11,NA,1.09,2.2,0.178,"1D","D",1,0.54093567251462,5,7.14,7.32,22.7543859649123
"205","1D02","1:Desert","Grassland","1:Desert",2,2,"10/25/16","10/24/16",18.278,8.381,9.897,47.98,57.639,9.659,NA,0.92,0.4,0.211,2.188,0.89,NA,1.06,1.95,0.18,"1D","D",2,0.406764168190128,5,9.65900000000001,9.897,21.421297989031
"206","1D03","1:Desert","Grassland","1:Desert",3,2,"10/25/16","10/24/16",20.334,8.267,12.067,47.95,59.869,11.919,NA,0.906,0.359,0.228,2.467,0.74,NA,1.1,1.84,0.233,"1D","D",3,0.299959464937171,5,11.919,12.067,28.4956627482773
"207","1D04","1:Desert","Grassland","1:Desert",4,2,"10/25/16","10/24/16",21.395,8.275,13.12,47.77,60.683,12.913,NA,0.784,0.363,0.238,2.761,0.75,NA,1.11,1.86,0.194,"1D","D",4,0.271640709887722,5,12.913,13.12,29.846070264397
"208","1G01","1:Desert","Grassland","3:Grassland",1,2,"10/25/16","10/24/16",18.772,7.835,10.937,48.05,58.873,10.823,NA,0.824,0.388,0.206,2.134,0.71,NA,1.07,1.78,0.186,"1G","G",1,0.332708528584817,5,10.823,10.937,27.9819119025305
"209","1G02","1:Desert","Grassland","3:Grassland",2,2,"10/25/16","10/24/16",18.71,7.667,11.043,49.02,59.917,10.897,NA,0.788,0.41,0.208,2.244,0.74,NA,1.08,1.82,0.222,"1G","G",2,0.329768270944741,5,10.897,11.043,28.1303030303031
"210","1G03","1:Desert","Grassland","3:Grassland",3,2,"10/25/16","10/24/16",21.051,7.504,13.547,48.74,62.058,13.318,NA,0.805,0.405,0.2,3.01,0.86,NA,1.13,1.99,0.208,"1G","G",3,0.285714285714286,5,13.318,13.547,23.8971428571429
"211","1G04","1:Desert","Grassland","3:Grassland",4,2,"10/25/16","10/24/16",17.742,7.611,10.131,48.98,58.934,9.954,NA,0.804,0.4,0.199,2.702,1,NA,1.06,2.06,0.197,"1G","G",4,0.370096225018505,5,9.954,10.131,26.3212435233161
"212","1G05","1:Desert","Grassland","3:Grassland",5,2,"10/25/16","10/24/16",17.421,7.557,9.864,NA,57.594,NA,NA,0.792,0.394,0.194,2.086,0.74,NA,1.11,1.85,0.196,"1G","G",5,0.354745925215724,5,9.864,9.864,30.015723873442
"213","1L01","1:Desert","Desert","In-situ",1,2,"10/25/16","10/24/16",10.78,5.36,5.42,48.15,53.46,5.31,NA,NA,NA,0.21,1.53,0.77,NA,1.08,1.85,0.19,"1L","L",1,0.503267973856209,2,5.31,5.42,NA
"214","1L02","1:Desert","Desert","In-situ",2,2,"10/25/16","10/24/16",9.45,4.76,4.69,48.93,53.41,4.48,NA,NA,NA,0.2,1.6,0.57,NA,1.09,1.66,0.21,"1L","L",2,0.35625,2,4.48,4.69,20.2000000000001
"215","1L03","1:Desert","Desert","In-situ",3,2,"10/25/16","10/24/16",8.85,4.48,4.37,47.32,51.55,4.23,NA,NA,NA,0.19,1.46,0.56,NA,1.09,1.65,0.19,"1L","L",3,0.383561643835616,2,4.23,4.37,18.8767123287672
"216","1L04","1:Desert","Desert","In-situ",4,2,"10/25/16","10/24/16",8.69,4.66,4.03,49.03,52.98,3.95,NA,NA,NA,0.19,1.71,0.8,NA,1.08,1.88,0.21,"1L","L",4,0.467836257309942,2,3.95,4.03,7.60233918128664
"217","1N01","1:Desert","Desert","In-situ closed",1,2,"10/25/16","10/24/16",10.65,6.98,3.67,48.05,51.68,3.63,NA,0.4022,0.01895,0.18,1.55,0.7,NA,1.11,1.81,0.19,"1N","N",1,0.451612903225806,2,3.63,3.67,18.0322580645161
"218","1N02","1:Desert","Desert","In-situ closed",2,2,"10/25/16","10/24/16",10.92,7.1,3.82,47.18,50.91,3.73,NA,0.4009,0.1945,0.19,1.47,0.61,NA,1.08,1.69,0.21,"1N","N",2,0.414965986394558,2,3.73,3.82,22.608843537415
"219","1N03","1:Desert","Desert","In-situ closed",3,2,"10/25/16","10/24/16",11.28,7.3,3.98,48.07,52.02,3.95,NA,0.4,0.197,0.21,1.55,0.58,NA,1.1,1.68,0.19,"1N","N",3,0.374193548387097,2,3.95,3.98,26.0967741935483
"220","1N04","1:Desert","Desert","In-situ closed",4,2,"10/25/16","10/24/16",10.8,7.5,3.3,50.56,53.84,3.28,NA,NA,NA,0.21,1.43,0.66,NA,1.1,1.76,0.19,"1N","N",4,0.461538461538462,2,3.28,3.3,24.3076923076923
"221","1P01","1:Desert","Grassland","4:Pine-Oak",1,2,"10/25/16","10/24/16",18.302,6.923,11.379,49,60.164,11.164,NA,0.803,0.425,0.23,2.875,0.9,NA,1.08,1.98,0.225,"1P","P",1,0.31304347826087,5,11.164,11.379,30.103652173913
"222","1P02","1:Desert","Grassland","4:Pine-Oak",2,2,"10/25/16","10/24/16",17.953,8.16,9.793,47.25,56.842,9.592,NA,0.796,0.399,0.222,2.16,0.82,NA,1.07,1.89,0.226,"1P","P",2,0.37962962962963,5,9.592,9.793,27.1718518518519
"223","1P03","1:Desert","Grassland","4:Pine-Oak",3,2,"10/25/16","10/24/16",18.523,7.897,10.626,49.06,59.496,10.436,NA,0.811,0.443,0.2,2.082,0.76,NA,1.09,1.85,0.222,"1P","P",3,0.365033621517771,5,10.436,10.626,23.8101825168108
"224","1P04","1:Desert","Grassland","4:Pine-Oak",4,2,"10/25/16","10/24/16",19.007,7.2,11.807,47.88,59.163,11.283,NA,0.844,0.464,0.222,1.853,0.61,NA,1.07,1.68,0.223,"1P","P",4,0.329195898542903,5,11.283,11.807,25.7136535348085
"225","1S01","1:Desert","Grassland","5:Subalpine",1,2,"10/25/16","10/24/16",16.12,5.474,10.646,47.46,56.127,8.667,NA,0.831,0.443,0.264,1.796,0.33,NA,1.1,1.32,0.225,"1S","S",1,0.183741648106904,5,10.646,10.646,NA
"226","1S02","1:Desert","Grassland","5:Subalpine",2,2,"10/25/16","10/24/16",24.364,8.426,15.938,48.21,63.883,15.673,NA,0.824,0.444,0.236,1.937,0.42,NA,1.07,1.49,0.24,"1S","S",2,0.216830149716056,5,15.673,15.938,32.0324212700052
"227","1S03","1:Desert","Grassland","5:Subalpine",3,2,"10/25/16","10/24/16",20.89,7.049,13.841,47.93,61.594,13.664,NA,0.829,0.417,0.191,2.172,0.58,NA,1.08,1.66,0.202,"1S","S",3,0.267034990791897,5,13.664,13.841,27.0246777163904
"228","1S04","1:Desert","Grassland","5:Subalpine",4,2,"10/25/16","10/24/16",23.254,8.214,15.04,49.18,63.991,14.811,NA,0.869,0.435,0.224,2.196,0.49,NA,1.07,1.56,0.194,"1S","S",4,0.223132969034608,5,14.811,15.04,33.9035519125683
"229","1W01","1:Desert","Grassland","2:Scrubland",1,2,"10/25/16","10/24/16",18.84,7.465,11.375,48.65,59.842,11.192,NA,0.793,0.411,0.197,3.313,1.04,NA,1.08,2.12,0.209,"1W","W",1,0.313914880772714,5,11.192,11.375,29.7332930878358
"230","1W02","1:Desert","Grassland","2:Scrubland",2,2,"10/25/16","10/24/16",17.303,8.031,9.272,47.92,57.023,9.103,NA,0.803,0.427,0.22,2.126,0.78,NA,1.09,1.87,0.2,"1W","W",2,0.366886171213547,5,9.103,9.272,33.2047036688617
"231","1W03","1:Desert","Grassland","2:Scrubland",3,2,"10/25/16","10/24/16",19.642,6.85,12.792,47.92,59.346,11.426,NA,0.803,0.408,0.227,2.244,0.66,NA,1.06,1.72,0.206,"1W","W",3,0.294117647058824,5,11.426,12.792,32.7882352941177
"232","1W04","1:Desert","Grassland","2:Scrubland",4,2,"10/25/16","10/24/16",14.829,5.17,9.659,48.03,55.252,7.222,NA,0.823,0.408,0.228,2.105,0.67,NA,1.08,1.75,0.21,"1W","W",4,0.318289786223278,5,9.659,9.659,38.5127790973872
"233","2C01","3:Grassland","Grassland","Sterile",1,2,"10/25/16","10/23/16",9.294,6.042,3.252,47.89,51.215,3.325,NA,NA,NA,0.115,1.389,1.14,NA,1.1,2.24,0.111,"2C","C",1,0.8207343412527,5,3.325,3.252,45.4211663066954
"234","2C02","3:Grassland","Grassland","Sterile",2,2,"10/25/16","10/23/16",9.578,5.888,3.69,47.84,51.528,3.688,NA,NA,NA,0.115,1.367,1.17,NA,1.09,2.26,0.107,"2C","C",2,0.8558888076079,5,3.688,3.69,36.8696415508413
"235","2C03","3:Grassland","Grassland","Sterile",3,2,"10/25/16","10/23/16",9.203,5.951,3.252,47.87,51.115,3.245,NA,NA,NA,0.12,1.202,1,NA,1.11,2.11,0.118,"2C","C",3,0.831946755407654,5,3.245,3.252,46.0066555740432
"236","2C04","3:Grassland","Grassland","Sterile",4,2,"10/25/16","10/23/16",9.175,5.976,3.199,47.3,50.459,3.159,NA,NA,NA,0.104,1.211,1.03,NA,1.1,2.13,0.11,"2C","C",4,0.850536746490504,5,3.15900000000001,3.199,46.2630883567299
"237","2D01","3:Grassland","Grassland","1:Desert",1,2,"10/25/16","10/23/16",9.64,5.99,3.65,47.27,50.93,3.66,NA,0.411,0.202,0.112,2.007,1.72,NA,1.08,2.8,0.101,"2D","D",1,0.857000498256104,5,3.66,3.65,37.2675635276533
"238","2D02","3:Grassland","Grassland","1:Desert",2,2,"10/25/16","10/23/16",8.176,5.245,2.931,48.72,50.541,1.821,NA,0.402,0.226,0.126,1.803,1.52,NA,1.11,2.63,0.103,"2D","D",2,0.843039378813089,5,2.931,2.931,50.5810316139767
"239","2D03","3:Grassland","Grassland","1:Desert",3,2,"10/25/16","10/23/16",8.312,5.201,3.111,47.66,49.647,1.987,NA,0.411,0.218,0.103,1.747,1.52,NA,1.07,2.59,0.091,"2D","D",3,0.870062965082999,5,3.111,3.111,45.8646823125358
"240","2D04","3:Grassland","Grassland","1:Desert",4,2,"10/25/16","10/23/16",9.333,6.028,3.305,48.39,51.695,3.305,NA,0.414,0.19,0.118,2.079,1.81,NA,1.09,2.9,0.104,"2D","D",4,0.870610870610871,5,3.305,3.305,42.4526214526215
"241","2G01","3:Grassland","Grassland","3:Grassland",1,2,"10/25/16","10/23/16",9.082,5.915,3.167,47.27,50.408,3.138,NA,0.394,0.21,0.126,1.966,1.66,NA,1.1,2.76,0.111,"2G","G",1,0.844354018311292,5,3.138,3.167,47.0083418107833
"242","2G02","3:Grassland","Grassland","3:Grassland",2,2,"10/25/16","10/23/16",9.093,6.019,3.074,48.69,51.757,3.067,NA,0.426,0.232,0.127,1.837,1.56,NA,1.08,2.64,0.098,"2G","G",2,0.849210669569951,5,3.067,3.074,47.9094175285792
"243","2G03","3:Grassland","Grassland","3:Grassland",3,2,"10/25/16","10/23/16",9.21,6.222,2.988,50.37,53.36,2.99,NA,0.399,0.199,0.103,1.755,1.5,NA,1.1,2.6,0.094,"2G","G",3,0.854700854700855,5,2.99,2.988,48.8888888888888
"244","2G04","3:Grassland","Grassland","3:Grassland",4,2,"10/25/16","10/23/16",8.833,5.811,3.022,47.31,50.352,3.042,NA,0.419,0.2,0.1,1.831,1.58,NA,1.11,2.69,0.096,"2G","G",4,0.862916439104315,5,3.04199999999999,3.022,47.5001638448936
"245","2L01","3:Grassland","Grassland","In-situ",1,2,"10/25/16","10/23/16",5.289,3.7814,1.5076,47.3,48.8351,1.5351,NA,NA,NA,0.106,1.1096,0.97,NA,1.1,2.07,0.1146,"2L","L",1,0.874188896899784,2,1.5351,1.5076,32.9016312184571
"246","2L02","3:Grassland","Grassland","In-situ",2,2,"10/25/16","10/23/16",5.0648,3.0302,2.0346,47.86,49.1574,1.2974,NA,NA,NA,0.1088,0.8701,0.75,NA,1.11,1.86,0.1071,"2L","L",2,0.861969888518561,2,1.2974,2.0346,44.0840133318008
"247","2L03","3:Grassland","Grassland","In-situ",3,2,"10/25/16","10/23/16",5.1667,3.7755,1.3912,48.1,49.548,1.448,NA,NA,NA,0.1144,0.9896,0.76,NA,1.08,1.84,0.0906,"2L","L",3,0.767987065481002,2,1.448,1.3912,44.3977364591754
"248","2L04","3:Grassland","Grassland","In-situ",4,2,"10/25/16","10/23/16",5.13,3.5478,1.5822,47.59,49.3127,1.7227,NA,NA,NA,0.1052,0.991,0.85,NA,1.12,1.97,0.0994,"2L","L",4,0.857719475277497,2,1.7227,1.5822,26.1203329969729
"249","2N01","3:Grassland","Grassland","In-situ closed",1,2,"10/25/16","10/23/16",7.381,5.823,1.558,50.62,52.189,1.569,NA,NA,NA,0.119,1.07,0.87,NA,1.11,1.98,0.118,"2N","N",1,0.813084112149533,2,1.569,1.558,36.2135514018691
"250","2N02","3:Grassland","Grassland","In-situ closed",2,2,"10/25/16","10/23/16",7.43,5.863,1.567,47.3,48.899,1.599,NA,NA,0.1757,0.115,1.023,0.85,NA,1.1,1.95,0.099,"2N","N",2,0.83088954056696,2,1.599,1.567,33.5703812316714
"251","2N03","3:Grassland","Grassland","In-situ closed",3,2,"10/25/16","10/23/16",7.258,5.674,1.584,50.4,52.054,1.654,NA,NA,0.2001,0.102,1.016,0.83,NA,1.11,1.94,0.105,"2N","N",3,0.816929133858268,2,1.654,1.584,32.4399606299211
"252","2N04","3:Grassland","Grassland","In-situ closed",4,2,"10/25/16","10/23/16",7.0341,4.7945,2.2396,50.85,52.22,1.37,NA,NA,0.056,0.1115,0.9986,0.84,NA,1.1,1.94,0.102,"2N","N",4,0.841177648708191,2,1.37,2.2396,42.379331063489
"253","2P01","3:Grassland","Grassland","4:Pine-Oak",1,2,"10/25/16","10/23/16",9.057,6.122,2.935,50.88,53.813,2.933,NA,0.409,0.216,0.117,1.269,1.07,NA,1.11,2.18,0.104,"2P","P",1,0.843183609141056,5,2.933,2.935,50.5388494877856
"254","2P02","3:Grassland","Grassland","4:Pine-Oak",2,2,"10/25/16","10/23/16",9.593,5.992,3.601,50.8,54.463,3.663,NA,0.413,0.212,0.121,2.003,1.72,NA,1.11,2.83,0.099,"2P","P",2,0.858711932101847,5,3.663,3.601,37.0907638542186
"255","2P03","3:Grassland","Grassland","4:Pine-Oak",3,2,"10/25/16","10/23/16",8.59,5.964,2.626,50.6,53.276,2.676,NA,0.405,0.215,0.098,1.175,1.12,NA,1.09,2.09,0.097,"2P","P",3,0.953191489361702,5,2.676,2.626,48.9851914893617
"256","2P04","3:Grassland","Grassland","4:Pine-Oak",4,2,"10/25/16","10/23/16",9.094,5.874,3.22,48.09,51.276,3.186,NA,0.41,0.218,0.105,1.873,1.59,NA,1.12,2.71,0.108,"2P","P",4,0.848905499199146,5,3.186,3.22,45.9077415910304
