STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP_in,SNOW_in,SNWD_in,PRCP_mm,Snow_mm,SNWD_mm,TMAX_F,TMIN_F,TOBS_F
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/1/17,,,0.3,,,7.62,0,0,34,16,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/2/17,,,0,,,0,0,0,40,30,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/3/17,,,0,,,0,0,0,38,26,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/4/17,,,0,,,0,0,0,40,18,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/5/17,,,0,,,0,0,0,46,36,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/6/17,,,0.1,,,2.54,0,0,44,24,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/7/17,,,0.1,,,2.54,0,0,50,40,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/8/17,,,0,,,0,0,0,50,41,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/9/17,,,,,,NA,0,0,53,34,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/10/17,2,0.95,,,,0,0,0,48,34,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/11/17,,,0.05,,,1.27,0,0,48,32,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/12/17,,,0,,,0,0,0,38,30,30
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/13/17,,,0.9,12,15,22.86,304.8,381,30,22,30
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/14/17,,,0.25,4,15,6.35,101.6,381,33,26,33
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/15/17,,,0,,,0,0,0,36,18,36
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/16/17,,,0,,12,0,0,304.8,38,14,34
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/17/17,,,0,,9,0,0,228.6,36,12,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/18/17,,,0,,,0,0,0,,,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/19/17,,,0.98,12,17,24.892,304.8,431.8,46,10,28
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/20/17,,,0.15,0.6,24,3.81,15.24,609.6,28,5,25
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/21/17,,,2.35,27,36,59.69,685.8,914.4,28,8,28
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/22/17,,,0.02,,36,0.508,0,914.4,32,22,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/23/17,,,4.22,20,42,107.188,508,1066.8,31,12,20
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/24/17,,,0.95,13,51,24.13,330.2,1295.4,32,10,32
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/25/17,,,0,,54,0,0,1371.6,36,-2,35
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/26/17,,,0,,36,0,0,914.4,40,10,37
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/27/17,,,0,0,50,0,0,1270,37,8,19
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/28/17,,,0,,,0,0,0,36,5,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/29/17,,,0,0,45,0,0,1143,49,25,49
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/30/17,,,0,,,0,0,0,54,20,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,1/31/17,,,0,,,0,0,0,56,18,
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/1/17,,,0.54,4,36,13.716,101.6,914.4,56,18,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/2/17,,,0,0,40,0,0,1016,54,32,47
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/3/17,,,0,0,40,0,0,1016,49,28,44
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/4/17,,,0,0,40,0,0,1016,54,30,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/5/17,,,0,0,40,0,0,1016,55,22,44
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/6/17,,,0.1,0,40,2.54,0,1016,48,32,36
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/7/17,,,0.8,8,48,20.32,203.2,1219.2,40,32,40
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/8/17,,,0,0,48,0,0,1219.2,54,36,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/9/17,,,0,0,48,0,0,1219.2,54,36,52
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/10/17,,,0,0,48,0,0,1219.2,67,38,55
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/11/17,,,0.2,0,48,5.08,0,1219.2,55,30,32
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/12/17,,,0.21,1,37,5.334,25.4,939.8,38,26,29
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/13/17,,,0,0,36,0,0,914.4,46,29,33
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/14/17,,,0.6,6,42,15.24,152.4,1066.8,53,26,33
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/15/17,,,0,0,42,0,0,1066.8,52,22,52
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/16/17,,,0,0,42,0,0,1066.8,56,20,56
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/17/17,,,0,0,42,0,0,1066.8,56,30,31
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/18/17,,,0.66,10,45,16.764,254,1143,50,26,30
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/19/17,,,0,0,43,0,0,1092.2,32,10,32
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/20/17,,,0,0,41,0,0,1041.4,42,32,42
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/21/17,,,0,0,36,0,0,914.4,48,38,41
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/22/17,,,0,0,36,0,0,914.4,46,32,46
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/23/17,,,0,0,34,0,0,863.6,46,32,34
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/24/17,,,0,0,32,0,0,812.8,41,24,41
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/25/17,,,0,0,36,0,0,914.4,41,26,38
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/26/17,,,0,0,34,0,0,863.6,40,24,30
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/27/17,,,0.55,3,30,13.97,76.2,762,40,18,30
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2/28/17,,,1.95,14.5,40,49.53,368.3,1016,36,10,36
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/1/17,,,0,0,30,0,0,762,48,10,48
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/2/17,,,0,0,30,0,0,762,55,28,55
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/3/17,,,0,0,30,0,0,762,55,24,32
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/4/17,,,0,0,29,0,0,736.6,56,22,44
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/5/17,,,0,0,,0,0,0,50,22,44
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/6/17,,,0.05,0.5,28,1.27,12.7,711.2,47,20,47
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/7/17,,,0,0,25,0,0,635,56,34,56
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/8/17,,,0,,25,0,0,635,58,48,58
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/9/17,,,0,0,0,0,0,0,58,28,46
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/10/17,,,0,0,0,0,0,0,60,28,60
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/11/17,,,0,0,22,0,0,558.8,65,24,65
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/12/17,,,0,0,0,0,0,0,65,26,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/13/17,,,0,0,22,0,0,558.8,58,28,56
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/14/17,,,0,0,22,0,0,558.8,56,28,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/15/17,,,0,,,0,0,0,62,32,55
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/16/17,,,0,0,8,0,0,203.2,69,30,69
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/17/17,,,0,0,8,0,0,203.2,78,30,78
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/18/17,,,0,0,7,0,0,177.8,78,32,67
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/19/17,,,0,0,7,0,0,177.8,70,34,58
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/20/17,,,0,0,7,0,0,177.8,62,22,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/21/17,,,0,0,7,0,0,177.8,54,38,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/22/17,,,0,0,7,0,0,177.8,54,32,40
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/23/17,,,0.02,,30,0.508,0,762,42,20,42
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/24/17,,,0,0,6,0,0,152.4,64,24,64
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/25/17,,,0,,,0,0,0,64,32,32
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/26/17,,,0,,30,0,0,762,58,24,58
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/27/17,,,0,0,0,0,0,0,58,34,43
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/28/17,,,0,0,7,0,0,177.8,51,18,51
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/29/17,,,0,,12,0,0,304.8,70,24,70
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/30/17,,,0,0,6,0,0,152.4,70,34,59
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,3/31/17,,,0,0,0,0,0,0,59,20,54
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/1/17,,,0,0,6,0,0,152.4,58,22,46
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/2/17,,,0,0,6,0,0,152.4,48,28,36
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/3/17,,,0,0,6,0,0,152.4,59,36,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/4/17,,,0,0,6,0,0,152.4,54,42,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/5/17,,,0,0,0,0,0,0,54,43,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/6/17,,,0,0,3,0,0,76.2,67,32,67
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/7/17,,,0,0,8,0,0,203.2,68,44,48
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/8/17,,,0,,0,0,0,0,56,36,36
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/9/17,,,0,,0,0,0,0,50,25,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/10/17,,,0,0,0,0,0,0,60,25,59
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/11/17,,,0,,0,0,0,0,60,28,60
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/12/17,,,0,,0,0,0,0,60,28,59
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/13/17,,,0,0,0,0,0,0,65,30,65
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/14/17,,,0,0,0,0,0,0,65,42,65
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/15/17,,,0,0,0,0,0,0,65,33,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/16/17,,,0,,0,0,0,0,66,32,66
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/17/17,,,0,0,0,0,0,0,66,34,55
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/18/17,,,0,0,0,0,0,0,55,34,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/19/17,,,0,0,0,0,0,0,56,32,51
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/20/17,,,0,0,0,0,0,0,64,32,56
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/21/17,,,0,0,0,0,0,0,62,34,42
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/22/17,,,0,0,0,0,0,0,52,42,50
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/23/17,,,0,0,0,0,0,0,64,34,60
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/24/17,,,0,0,0,0,0,0,64,50,64
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/25/17,,,0,0,0,0,0,0,70,42,68
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/26/17,,,0,0,0,0,0,0,70,40,68
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/27/17,,,0,0,0,0,0,0,68,38,60
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/28/17,,,0,0,0,0,0,0,65,30,45
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/29/17,,,0,0,0,0,0,0,53,23,31
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,4/30/17,,,0,0,0,0,0,0,50,30,44
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/1/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/2/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/3/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/4/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/5/15,,,0.63,0,0,16.002,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/6/15,,,0.46,0,0,11.684,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/7/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/8/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/9/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/10/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/11/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/12/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/13/15,,,0.01,0,0,0.254,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/14/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/15/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/16/15,,,0.34,0,,8.636,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/17/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/18/15,,,0.53,0,0,13.462,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/19/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/20/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/21/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/22/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/23/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/24/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/25/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/26/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/27/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/28/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/29/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/30/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,10/31/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/1/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/2/15,,,0,0,,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/3/15,,,0.75,0,0,19.05,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/4/15,,,0.21,0.3,0,5.334,7.62,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/5/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/6/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/7/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/8/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/9/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/10/15,,,0.21,0.2,0,5.334,5.08,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/11/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/12/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/13/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/14/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/15/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/16/15,,,0.01,0,0,0.254,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/17/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/18/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/19/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/20/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/21/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/22/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/23/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/24/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/25/15,,,0.26,0,0,6.604,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/26/15,,,0.01,0,0,0.254,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/27/15,,,0.05,0.2,0,1.27,5.08,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/28/15,,,0.02,0.3,0,0.508,7.62,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/29/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,11/30/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/1/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/2/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/3/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/4/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/5/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/6/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/7/15,,,0,0,0,0,0,0,,,
