desc_1,SampleID,TimePoint,Site,Inoculum,feedtype,Sampled,drymatter,moisture,CP,ADJ_CP,ADJ_CP_CP,SP,SP_CP,NH3CPE,NH3CPE_CP,ADICP,ADICP_CP,NDICP,NDICP_CP,RDP,RDP_CP,ADF,ADF_NDF,NDF,aNDFom,Lignin,Lignin_ndf,Starch,Starch_NFC,Fat_EE,TDN,NELMcallb,NEMMcallb,NEGMcallb,RFV,NFC,NSC,Ash,Ca,P,Mg,K,S,soilContaiminationProb
1D01-2 ELEVATION LEVEL,1D01,2,Desert,D,GRASS FORAGE,10/16/16,92.3,7.8,9.4,9,95,3.9,41.7,,,1.42,15,4.12,43.6,6.7,70.9,48.8,62.3,78.3,70.9,7.25,9.26,1,8.9,1.85,54.9,0.54,0.5,0.24,60,11,1,3.54,0.6,0.14,0.17,0.48,0.15,Probable low to none
1D02-2 ELEVATION LEVEL,1D02,2,Desert,D,GRASS FORAGE,10/16/16,91.1,8.9,9.9,9.4,95.1,3.8,38.4,0.01,0.1,1.48,14.9,4.35,43.9,6.9,69.2,45.3,61,74.3,69.4,6.53,8.79,2.6,17.8,2.02,57.3,0.57,0.53,0.28,67,14.4,2.6,3.75,0.54,0.2,0.19,0.64,0.15,Probable low to none
1D03-2 ELEVATION LEVEL,1D03,2,Desert,D,GRASS FORAGE,10/16/16,91.7,8.3,10,9.4,94.2,4.3,42.8,,,1.58,15.8,3.98,39.7,7.2,71.4,48.2,62.9,76.6,69.2,7.29,9.51,1.4,12.3,1.93,55.2,0.55,0.5,0.25,62,11.7,1.4,3.74,0.7,0.18,0.18,0.34,0.14,Probable low to none
1D04-2 ELEVATION LEVEL,1D04,2,Desert,D,GRASS FORAGE,10/16/16,91.5,8.5,10.3,9.9,95.5,4.7,45.4,,,1.5,14.5,3.85,37.3,7.5,72.7,47.4,61.6,77,68.9,7.01,9.1,1.7,14.4,2.02,56.7,0.56,0.53,0.27,63,11.9,1.7,2.59,0.72,0.16,0.18,0.12,0.15,Probable low to none
1G01-2 ELEVATION LEVEL,1G01,2,Desert,G,GRASS FORAGE,10/16/16,90.6,9.4,10.8,10.2,95.1,4,37.4,0.14,1.3,1.61,14.9,5.09,47.2,7.4,68.7,44.1,59.3,74.4,69.7,6.27,8.43,3,20.7,2.08,58.6,0.59,0.55,0.3,68,14.7,3,3.16,0.55,0.24,0.2,0.66,0.15,Probable low to none
1G05 ELEVATION LEVEL,1G05,2,Desert,G,GRASS FORAGE,10/16/16,91.7,8.3,10.6,10.1,95.2,4.6,43.3,,,1.57,14.8,4.48,42.3,7.6,71.7,45.1,59.9,75.3,67.9,6.35,8.43,2.2,16.5,2.12,58.2,0.58,0.55,0.29,66,13.5,2.2,2.95,0.61,0.22,0.19,0.64,0.16,Probable low to none
1G02-2 ELEVATION LEVEL,1G02,2,Desert,G,GRASS FORAGE,10/16/16,91.5,8.5,10,9.4,94.7,3.8,37.8,,,1.52,15.3,4.85,48.7,6.9,68.9,45.9,58.7,78.2,71.7,6.26,8,2,16.9,2.08,57.8,0.58,0.54,0.29,63,11.9,2,2.71,0.55,0.22,0.19,0.68,0.15,Probable low to none
1G03-2 ELEVATION LEVEL,1G03,2,Desert,G,GRASS FORAGE,10/16/16,91.4,8.6,9.9,9.5,95.5,3.9,38.8,,,1.44,14.5,4.32,43.6,6.9,69.4,44,58.9,74.7,69.7,6.15,8.23,3.2,22.5,2.21,58.4,0.58,0.55,0.3,68,14.1,3.2,3.34,0.5,0.23,0.18,0.68,0.15,Probable low to none
1G04-2 ELEVATION LEVEL,1G04,2,Desert,G,GRASS FORAGE,10/16/16,91.6,8.4,10,9.4,94.1,3.7,37.4,,,1.58,15.9,4.95,49.7,6.8,68.7,46.2,59.4,77.7,70.9,6.49,8.35,2.3,18.7,2.13,57.5,0.57,0.54,0.28,63,12.2,2.3,2.96,0.56,0.21,0.18,0.57,0.15,Probable low to none
1P01-2 ELEVATION LEVEL,1P01,2,Desert,P,GRASS FORAGE,10/16/16,90.9,9.1,10.4,9.9,95.2,4.2,40.7,,,1.53,14.8,4.43,42.8,7.3,70.4,44.2,59,74.9,67.4,6.6,8.81,2.9,21.2,2.22,57.8,0.58,0.54,0.29,68,13.8,2.9,3.21,0.64,0.19,0.19,0.41,0.16,Probable low to none
1P02-2 ELEVATION LEVEL,1P02,2,Desert,P,GRASS FORAGE,10/16/16,91.6,8.4,10.2,9.7,94.7,4,39.1,,,1.57,15.3,4.57,44.6,7.1,69.5,45.2,59.6,75.8,67.7,6.47,8.53,2.4,17.9,2.26,58.1,0.58,0.55,0.29,66,13.3,2.4,2.95,0.69,0.19,0.2,0.38,0.17,Probable low to none
1P03-2 ELEVATION LEVEL,1P03,2,Desert,P,GRASS FORAGE,10/16/16,91.4,8.6,9.4,9,95.3,3.6,38,,,1.38,14.7,4.44,47.2,6.5,69,44.9,59.4,75.5,70.5,5.95,7.88,2,14.6,2.26,58.5,0.59,0.55,0.3,66,13.8,2,3.45,0.54,0.21,0.2,0.79,0.14,Probable low to none
1P04-2 ELEVATION LEVEL,1P04,2,Desert,P,GRASS FORAGE,10/16/16,91.7,8.3,8.9,8.4,93.4,3.5,38.7,,,1.48,16.6,4.08,45.6,6.2,69.4,47.1,60.9,77.4,70.9,6.6,8.53,1.7,13.5,2.07,57.1,0.57,0.53,0.28,63,12.9,1.7,2.82,0.56,0.22,0.19,0.64,0.14,Probable low to none
1S01-2 ELEVATION LEVEL,1S01,2,Desert,S,GRASS FORAGE,10/16/16,91.5,8.5,10.5,9.7,92.3,3.7,35.1,,,1.85,17.7,4.86,46.4,7.1,67.6,45.3,60.6,74.8,68.1,7.32,9.79,2.7,20.5,2.08,55.7,0.55,0.51,0.26,67,13.2,2.7,4.29,0.59,0.28,0.21,0.66,0.14,Probable low to none
1S02-2 ELEVATION LEVEL,1S02,2,Desert,S,GRASS FORAGE,10/16/16,91.5,8.6,9.7,8.8,91.7,3.7,38,,,1.77,18.3,4.85,50.3,6.7,69,46.8,61.4,76.2,69,7.09,9.3,2.2,17.2,2,55.5,0.55,0.51,0.25,64,12.8,2.2,4.24,0.58,0.25,0.2,0.72,0.14,Probable low to none
1S03-2 ELEVATION LEVEL,1S03,2,Desert,S,GRASS FORAGE,10/16/16,91.2,8.8,9.6,9.1,94.6,3.4,35.4,0.29,3,1.47,15.4,4.67,48.8,6.5,67.7,43.5,58.1,74.8,70,6.01,8.04,3.2,21.8,2.16,58.4,0.58,0.55,0.3,68,14.6,3.2,3.55,0.47,0.25,0.2,0.8,0.15,Probable low to none
1S04-2 ELEVATION LEVEL,1S04,2,Desert,S,GRASS FORAGE,10/16/16,91.6,8.4,10,9.4,94.1,3.6,35.7,,,1.59,15.9,4.89,48.9,6.8,67.9,45.5,59.9,76,69,6.57,8.65,2.4,18.3,2.17,57.1,0.57,0.53,0.28,66,13.1,2.4,3.72,0.6,0.21,0.19,0.58,0.16,Probable low to none
1W01-2 ELEVATION LEVEL,1W01,2,Desert,W,GRASS FORAGE,10/16/16,92,8,11.1,10.4,94.3,4.3,39.1,,,1.73,15.7,4.32,39.1,7.7,69.5,44.3,59.3,74.8,66,7.15,9.57,3.1,22.5,2.23,57.7,0.58,0.54,0.28,68,13.8,3.1,2.54,0.66,0.22,0.18,0.31,0.17,Probable low to none
1W02-2 ELEVATION LEVEL,1W02,2,Desert,W,GRASS FORAGE,10/16/16,90.3,9.7,11.3,10.9,97.3,3.7,33.1,,,1.43,12.7,4.36,38.8,7.5,66.5,43.8,59.7,73.4,69.5,7.63,10.4,2.4,18,3.96,59.9,0.61,0.58,0.32,69,13.6,2.4,2.2,0.58,0.26,0.24,0.29,0.16,Probable low to none
1W03-2 ELEVATION LEVEL,1W03,2,Desert,W,GRASS FORAGE,10/16/16,90.3,9.7,9.4,8.9,94.8,3.5,37.5,0.39,4.2,1.42,15.2,4.11,44,6.4,68.8,42.5,57,74.6,71.4,6.19,8.3,3.4,24.8,2.25,57.6,0.58,0.54,0.28,70,13.8,3.6,4.08,0.38,0.27,0.2,0.65,0.13,Probable low to none
1W04-2 ELEVATION LEVEL,1W04,2,Desert,W,GRASS FORAGE,10/16/16,91.2,8.8,10.7,10.3,96.3,3.9,36.6,,,1.47,13.7,4.04,37.7,7.3,68.3,44.4,59.9,74.1,68.6,7.02,9.48,2.6,19.1,3.51,60,0.61,0.58,0.32,68,13.6,2.6,2.11,0.59,0.29,0.22,0.55,0.15,Probable low to none
2D01-2 ELEVATION LEVEL,2D01,2,Grassland,D,GRASS FORAGE,10/16/16,90.4,9.6,12.7,11.9,93.6,5,38.9,,,2.09,16.4,4.56,35.8,8.8,69.4,44.3,60.2,73.7,65.9,9,12.22,2.4,17.8,2.77,56.5,0.57,0.52,0.27,69,13.3,2.4,2.12,0.76,0.23,0.21,0.07,0.2,Probable low to none
2D02-2 ELEVATION LEVEL,2D02,2,Grassland,D,GRASS FORAGE,10/16/16,91.1,8.9,15.2,14.2,93.5,6.7,44.1,,,2.51,16.5,3.74,24.6,10.9,72.1,42.7,61.9,69.1,58.5,10.29,14.9,3.8,25.9,2.73,56,0.56,0.52,0.26,75,14.8,3.8,2.01,1.03,0.25,0.22,,0.22,Probable low to none
2D03-2 ELEVATION LEVEL,2D03,2,Grassland,D,GRASS FORAGE,10/16/16,91.1,8.9,14.5,13.5,93,6,41.3,,,2.47,17,4.37,30.2,10.2,70.7,44.5,62.3,71.4,61.2,10.14,14.21,3.1,23,2.65,55.2,0.55,0.5,0.25,71,13.4,3.1,2.44,0.98,0.22,0.22,,0.21,Probable low to none
2D04-2 ELEVATION LEVEL,2D04,2,Grassland,D,GRASS FORAGE,10/16/16,90.5,9.5,13.7,12.8,93.2,5.4,39.4,,,2.3,16.8,4.66,34,9.5,69.7,44.1,60.6,72.7,64.7,9.79,13.46,2.9,20.7,2.66,56.2,0.56,0.52,0.26,70,14.1,2.9,1.51,0.89,0.18,0.2,,0.21,Probable low to none
2G01-2 ELEVATION LEVEL,2G01,2,Grassland,G,GRASS FORAGE,10/16/16,90.2,9.8,15.7,14.6,92.9,5,31.6,,,2.69,17.1,5.95,37.8,10.4,65.8,47.6,70.3,67.8,59.7,11.05,16.31,2.1,,3.72,58.7,0.6,0.57,0.32,71,18.7,2.1,,0.76,0.36,0.19,,0.12,Probable low to none
2G02-2 ELEVATION LEVEL,2G02,2,Grassland,G,GRASS FORAGE,10/16/16,89.8,10.2,15.3,14,91.6,5.9,38.6,,,2.82,18.4,5.73,37.4,10.6,69.3,44.5,62.3,71.4,61.6,10.74,15.04,3,20.4,2.63,55.7,0.55,0.51,0.25,71,14.6,3,1.75,0.95,0.28,0.21,0.1,0.22,Probable low to none
2G03-2 ELEVATION LEVEL,2G03,2,Grassland,G,GRASS FORAGE,10/16/16,90.7,9.3,16.8,15.8,93.6,6.1,36.3,,,2.77,16.4,6.28,37.3,11.5,68.1,48,72.6,66.1,56.2,10.94,16.55,2.6,13.6,3.63,60,0.61,0.58,0.32,73,19.3,2.6,0.45,1.08,0.3,0.22,,0.13,Probable low to none
2G04-2 ELEVATION LEVEL,2G04,2,Grassland,G,GRASS FORAGE,10/16/16,90.8,9.2,15.4,14.3,93.1,5.1,33.3,,,2.6,16.9,5.68,36.9,10.3,66.6,45.4,68.4,66.4,58.3,10.19,15.36,2.8,14.4,3.81,60.7,0.62,0.59,0.33,75,19.6,2.8,0.52,0.74,0.4,0.17,,0.12,Probable low to none
2P01-2 ELEVATION LEVEL,2P01,2,Grassland,P,GRASS FORAGE,10/16/16,90,10,14.5,12.9,88.6,5.5,38.2,,,3.1,21.4,6.77,46.7,10,69.1,49,64.3,76.2,62.8,11.74,15.4,2,17.4,2.38,52.4,0.52,0.45,0.2,62,11.4,2,2.21,0.96,0.18,0.22,0.12,0.21,Probable low to none
2P02-2 ELEVATION LEVEL,2P02,2,Grassland,P,GRASS FORAGE,10/16/16,90.9,9.1,15.6,14,90,5.3,34.1,,,3.12,20,6.59,42.2,10.5,67.1,51.2,71.5,71.6,56.9,11.07,15.47,1.7,10.8,3.72,58.2,0.59,0.55,0.29,64,15.2,1.7,0.47,0.85,0.44,0.26,,0.07,Probable moderate contamination
2P03-2 ELEVATION LEVEL,2P03,2,Grassland,P,GRASS FORAGE,10/16/16,90.1,10,16.2,14.7,90.2,4.9,30.4,,,3.21,19.8,7.07,43.5,10.6,65.2,47.6,69.5,68.4,57,11.54,16.87,3.1,17.8,3.77,58.5,0.59,0.55,0.3,71,17.6,3.1,1.02,0.85,0.34,0.2,,0.12,Probable low to none
2P04-2 ELEVATION LEVEL,2P04,2,Grassland,P,GRASS FORAGE,10/16/16,90.6,9.4,15.1,13.7,90.7,5.7,37.5,,,2.92,19.3,6.2,41,10.4,68.8,44.3,61.2,72.3,60.3,9.99,13.81,3.8,28.5,2.77,55.8,0.56,0.51,0.26,70,13.3,3.8,2.64,0.9,0.29,0.23,0.35,0.21,Probable low to none
2S01-2 ELEVATION LEVEL,2S01,2,Grassland,S,GRASS FORAGE,10/16/16,90.5,9.5,15.1,13.6,90.1,6.6,43.9,,,2.99,19.9,4.4,29.2,10.8,72,45,64.2,70.1,59.9,11.62,16.57,3.2,21,2.12,53.7,0.53,0.48,0.23,71,15.4,3.2,1.73,0.98,0.3,0.22,0.06,0.22,Probable low to none
