SampleID,Site,LitterOrigin,MicrobialOrigin,Replicate,Timepoint,Date,Collection,FullBag,EmptyBag,BagDiff,EmptyContainer,FullContainer,ContainerDiff,DNAWetWeight,HydrolyticWetWeight,OxidativeWetWeight,BactWetWeight,LitterWetWeight,LitterDryWeight,WetLitterPlusEnvWeight,EnvWeight,DryLitterPlusEnvWeight,HyphaeWetWeight
X01,,Grassland,,1,0,,10/19/15,,,,,,,,1.0039,,0.105,0.5027,0.4462,,,,0.1027
X01A,,Grassland,,2,0,,10/19/15,,,,,,,,1.0027,,0.1036,,,,,,0.103
X01B,,Grassland,,3,0,,10/19/15,,,,,,,,1.0134,,0.1036,,,,,,0.1054
X02,,Grassland,,1,0,,10/19/15,,,,,,,,1.003,,0.1023,0.5054,0.4551,,,,0.1008
X02A,,Grassland,,2,0,,10/19/15,,,,,,,,1.0055,,0.1035,,,,,,0.102
X02B,,Grassland,,3,0,,10/19/15,,,,,,,,1.0056,,0.1,,,,,,0.1025
X03,,Grassland,,1,0,,10/19/15,,,,,,,,1.0173,,0.105,0.5172,0.4636,,,,0.0987
X03A,,Grassland,,2,0,,10/19/15,,,,,,,,0.9993,,0.1119,,,,,,0.1014
X03B,,Grassland,,3,0,,10/19/15,,,,,,,,1.0157,,0.0949,,,,,,0.1056
X04,,Grassland,,1,0,,10/19/15,,,,,,,,1.0372,,0.1038,0.4995,0.4448,,,,0.1052
X04A,,Grassland,,2,0,,10/19/15,,,,,,,,1.0413,,0.1026,,,,,,0.101
X04B,,Grassland,,3,0,,10/19/15,,,,,,,,1.028,,0.1067,,,,,,0.1062
X05,,Grassland,,1,0,,10/19/15,,,,,,,,1.0076,,0.103,0.5041,0.4496,,,,0.107
X06,,Grassland,,1,0,,10/19/15,,,,,,,,1.0282,,0.1028,0.5047,0.4501,,,,0.1041
X07,,Grassland,,1,0,,10/19/15,,,,,,,,1.0216,,0.1061,0.503,0.4439,,,,0.1088
X08,,Grassland,,1,0,,10/19/15,,,,,,,,1.0146,,0.1092,0.5025,0.4484,,,,0.0997
X09,,Grassland,,1,0,,10/19/15,,,,,,,,1.0234,,0.1017,0.5063,0.4507,,,,0.1045
X10,,Grassland,,1,0,,10/19/15,,,,,,,,1.0517,,0.1063,0.5082,0.4481,,,,0.1051
X11,,Grassland,,1,0,,10/19/15,,,,,,,,1.0874,,0.1114,0.5055,0.456,,,,0.1086
X12,,Grassland,,1,0,,10/19/15,,,,,,,,1.0845,,0.1003,0.5045,0.4465,,,,0.1045
ZD01,,,Desert,1,0,,10/19/15,,,,,,,0.0503,1.0108,,0.107,0.5046,0.4511,,,,0.1062
ZD02,,,Desert,1,0,,10/19/15,,,,,,,0.0502,1.0045,,0.1035,0.5038,0.4493,,,,0.1016
ZD03,,,Desert,1,0,,10/19/15,,,,,,,0.05,1.001,,0.1001,0.5025,0.4461,,,,0.1023
ZD04,,,Desert,1,0,,10/19/15,,,,,,,0.0531,1.0018,,0.1004,0.5023,0.4469,,,,0.1008
ZG01,,,Grassland,1,0,,10/19/15,,,,,,,0.0491,1.0076,,0.1045,0.5055,0.4465,,,,0.1087
ZG02,,,Grassland,1,0,,10/19/15,,,,,,,0.0498,1.0016,,0.1008,0.5009,0.4382,,,,0.1017
ZG03,,,Grassland,1,0,,10/19/15,,,,,,,0.0495,1.0044,,0.1049,0.4969,0.4527,,,,0.1015
ZG04,,,Grassland,1,0,,10/19/15,,,,,,,0.0528,1.0036,,0.1023,0.5004,0.4508,,,,0.1004
ZP01,,,Oak Pine,1,0,,10/19/15,,,,,,,0.0501,1.0026,,0.1021,0.5014,0.4356,,,,0.1022
ZP02,,,Oak Pine,1,0,,10/19/15,,,,,,,0.0497,1.0023,,0.1028,0.5001,0.4386,,,,0.1021
ZP03,,,Oak Pine,1,0,,10/19/15,,,,,,,0.052,1.0062,,0.1018,0.5045,0.4441,,,,0.1022
ZP04,,,Oak Pine,1,0,,10/19/15,,,,,,,0.0504,1.0011,,0.1009,0.5,0.4422,,,,0.1009
ZS01,,,Subalpine,1,0,,10/19/15,,,,,,,0.0529,1.0038,,0.1015,0.5009,0.4404,,,,0.1
ZS02,,,Subalpine,1,0,,10/19/15,,,,,,,0.0518,1.0024,,0.1017,0.5005,0.4493,,,,0.1016
ZS03,,,Subalpine,1,0,,10/19/15,,,,,,,0.0517,1.006,,0.1014,0.5025,0.4475,,,,0.1006
ZS04,,,Subalpine,1,0,,10/19/15,,,,,,,0.0499,1.0015,,0.1005,0.5002,0.4465,,,,0.1012
ZW01,,,Woodland,1,0,,10/19/15,,,,,,,0.0514,1.005,,0.104,0.5006,0.4422,,,,0.102
ZW02,,,Woodland,1,0,,10/19/15,,,,,,,0.0512,1.0014,,0.1015,0.5023,0.4514,,,,0.1016
ZW03,,,Woodland,1,0,,10/19/15,,,,,,,0.0528,1.0012,,0.1012,0.5019,0.4536,,,,0.1019
ZW04,,,Woodland,1,0,,10/19/15,,,,,,,0.0524,1.0001,,0.1008,0.5003,0.447,,,,0.1
1C01,Desert,Grassland,,1,1,4/6/16,4/5/16,10.2,5.92,4.28,50.44,54.67,4.23,,,,0.12,1.03,0.9,2.57,1.54,2.44,0.1
1C02,Desert,Grassland,,2,1,4/6/16,4/5/16,9.52,5.99,3.53,50.45,54.76,4.31,,,,0.1,1.03,0.9,2.58,1.55,2.45,0.1
1C03,Desert,Grassland,,3,1,4/6/16,4/5/16,10.19,5.8,4.39,50.3,54.69,4.39,,,,0.1,1.1,0.96,2.65,1.55,2.51,0.12
1C04,Desert,Grassland,,4,1,4/6/16,4/5/16,10.07,5.87,4.2,50.66,54.78,4.12,,,,0.12,1.05,0.93,2.6,1.55,2.48,0.11
1C05,Desert,Grassland,,5,1,4/6/16,4/5/16,10.2593,5.9099,4.3494,47.88,52.2699,4.3899,,,,0.1019,0.9962,0.85,2.5662,1.57,2.42,0.1028
1D01,Desert,Grassland,Desert,1,1,4/6/16,4/5/16,10.014,5.6,4.414,47.88,52.01,4.13,0.0502,0.4094,0.2018,0.1019,1.0408,0.88,2.5508,1.51,2.39,0.1021
1D02,Desert,Grassland,Desert,2,1,4/6/16,4/5/16,9.6316,6.1517,3.4799,47.58,51.7622,4.1822,0.0502,0.4017,0.2073,0.1046,1.0231,0.88,2.5331,1.51,2.39,0.1047
1D03,Desert,Grassland,Desert,3,1,4/6/16,4/5/16,10.235,5.9274,4.3076,47.92,53.1212,5.2012,0.0506,0.4044,0.2041,0.1053,1.0751,0.91,2.6251,1.55,2.46,0.1063
1D04,Desert,Grassland,Desert,4,1,4/6/16,4/5/16,10.3172,5.8793,4.4379,47.51,51.9965,4.4865,0.0501,0.4023,0.204,0.107,1.015,0.89,2.545,1.53,2.42,0.1058
1G02,Desert,Grassland,Grassland,2,1,4/6/16,4/5/16,10.0523,5.7992,4.2531,48.11,52.3968,4.2868,0.0504,0.4172,0.2086,0.1167,1.0414,0.91,2.5914,1.55,2.46,0.1172
1G03,Desert,Grassland,Grassland,3,1,4/6/16,4/5/16,10.1536,5.8184,4.3352,48.19,52.4482,4.2582,0.0503,0.4197,0.2124,0.1122,1.1418,1.02,2.6818,1.54,2.56,0.1098
1G04,Desert,Grassland,Grassland,4,1,4/6/16,4/5/16,10.0757,5.72,4.3557,47.57,51.9457,4.3757,0.0503,0.4095,0.2032,0.1172,1.1705,1.04,2.7105,1.54,2.58,0.102
1L01,Desert,Desert,,1,1,4/6/16,4/5/16,5.74,3.88,1.86,50.77,52.6,1.83,,,,0.12,1.05,0.92,2.52,1.47,2.39,0.11
1L02,Desert,Desert,,2,1,4/6/16,4/5/16,5.72,3.88,1.84,50.55,52.37,1.82,,,,0.12,1.03,0.93,2.51,1.48,2.41,0.11
1L03,Desert,Desert,,3,1,4/6/16,4/5/16,5.66,3.83,1.83,50.58,52.37,1.79,,,,0.12,1.16,1.03,2.64,1.48,2.51,0.11
1L04,Desert,Desert,,4,1,4/6/16,4/5/16,5.68,3.86,1.82,50.79,52.43,1.64,,,,0.11,1.17,1.05,2.65,1.48,2.53,0.1
1N01,Desert,Desert,,1,1,4/6/16,4/5/16,6.0133,4.165,1.8483,50.61,51,0.39,,,,0.1225,0.9871,0.88,2.4771,1.49,2.37,0.1277
1N02,Desert,Desert,,2,1,4/6/16,4/5/16,7.49,5.6,1.89,50.53,52.37,1.84,,,,0.11,1.05,0.94,2.51,1.46,2.4,0.12
1N03,Desert,Desert,,3,1,4/6/16,4/5/16,7.68,5.855,1.825,50.62,52.55,1.93,,,,0.1187,0.9971,0.89,2.4671,1.47,2.36,0.1147
1N04,Desert,Desert,,4,1,4/6/16,4/5/16,7.73,5.81,1.92,50.91,52.89,1.98,,,,0.11,1.12,0.99,2.59,1.47,2.46,0.1286
1P01,Desert,Grassland,Oak Pine,1,1,4/6/16,4/5/16,10.2165,5.7615,4.455,47.35,53.204,5.854,0.0506,0.4074,0.2073,0.1063,1.1303,1.01,2.6603,1.53,2.54,0.0976
1P02,Desert,Grassland,Oak Pine,2,1,4/6/16,4/5/16,10.167,5.7689,4.3981,48.15,52.4948,4.3448,0.0497,0.4021,0.2095,0.109,1.2819,1.13,2.7919,1.51,2.64,0.1043
1P03,Desert,Grassland,Oak Pine,3,1,4/6/16,4/5/16,10.042,5.5796,4.4624,48.88,53.3442,4.4642,0.0509,0.4181,0.2103,0.1048,1.0127,0.89,2.5227,1.51,2.4,0.1075
1P04,Desert,Grassland,Oak Pine,4,1,4/6/16,4/5/16,10.2663,5.7742,4.4921,48.84,53.3308,4.4908,0.0506,0.4033,0.2148,0.1182,1.2191,1.05,2.7491,1.53,2.58,0.1168
1S01,Desert,Grassland,Subalpine,1,1,4/6/16,4/5/16,10.2695,5.8217,4.4478,48.98,53.4133,4.4333,0.0501,0.41,0.218,0.1101,1.2128,1.05,2.7828,1.57,2.62,0.1143
1S02,Desert,Grassland,Subalpine,2,1,4/6/16,4/5/16,10.3872,5.9651,4.4221,47.94,52.3674,4.4274,0.0503,0.4171,0.2086,0.1167,1.356,1.2,2.866,1.51,2.71,0.1036
1S03,Desert,Grassland,Subalpine,3,1,4/6/16,4/5/16,10.2302,5.645,4.5852,47.43,51.6135,4.1835,0.0506,0.3997,0.1879,0.1112,0.6052,0.49,2.1152,1.51,2,0.1063
1S04,Desert,Grassland,Subalpine,4,1,4/6/16,4/5/16,10.267,5.4213,4.8457,47.98,52.241,4.261,0.0494,0.4106,0.1925,0.0999,1.2189,1.08,2.7089,1.49,2.57,0.0958
1W01,Desert,Grassland,Woodland,1,1,4/6/16,4/5/16,10.2971,6.0409,4.2562,47.44,51.7701,4.3301,0.0509,0.4057,0.2101,0.1028,1.2359,1.09,2.7659,1.53,2.62,0.1012
1W02,Desert,Grassland,Woodland,2,1,4/6/16,4/5/16,10.0399,5.7857,4.2542,48.21,52.417,4.207,0.0494,0.4005,0.1952,0.1037,1.0454,0.93,2.5854,1.54,2.47,0.101
1W03,Desert,Grassland,Woodland,3,1,4/6/16,4/5/16,10.185,5.8447,4.3403,48.82,51.6977,2.8777,0.0501,0.402,0.2111,0.1099,1.1065,0.96,2.6565,1.55,2.51,0.1047
1W04,Desert,Grassland,Woodland,4,1,4/6/16,4/5/16,9.8606,5.4905,4.3701,48.05,52.4289,4.3789,0.0493,0.4311,0.2374,0.1329,1.0847,0.97,2.6347,1.55,2.52,0.1102
2C01,Grassland,Grassland,,1,1,4/6/16,4/5/16,8.841,5.948,2.893,50.76,53.827,3.067,,,,0.109,1.014,0.86,2.554,1.54,2.4,0.109
2C02,Grassland,Grassland,,2,1,4/6/16,4/5/16,8.943,5.693,3.25,50.66,53.902,3.242,,,,0.105,1.023,0.89,2.533,1.51,2.4,0.104
2C03,Grassland,Grassland,,3,1,4/6/16,4/5/16,9.326,6.114,3.212,50.49,53.703,3.213,,,,0.103,1.012,0.87,2.512,1.5,2.37,0.103
2C04,Grassland,Grassland,,4,1,4/6/16,4/5/16,9.263,6.04,3.223,50.84,54.013,3.173,,,,0.106,1.009,0.87,2.489,1.48,2.35,0.108
2D01,Grassland,Grassland,Desert,1,1,4/6/16,4/5/16,9.486,5.85,3.636,48.23,51.871,3.641,0.051,0.404,0.216,0.118,1.003,0.85,2.513,1.51,2.36,0.101
2D02,Grassland,Grassland,Desert,2,1,4/6/16,4/5/16,9.482,5.903,3.579,47.95,51.46,3.51,0.0497,0.412,0.205,0.119,1.004,0.86,2.534,1.53,2.39,0.108
2D03,Grassland,Grassland,Desert,3,1,4/6/16,4/5/16,9.229,5.714,3.515,47.86,51.34,3.48,0.0494,0.43,0.22,0.1,1.04,0.88,2.56,1.52,2.4,0.11
2D04,Grassland,Grassland,Desert,4,1,4/6/16,4/5/16,9.311,5.754,3.557,49.11,52.642,3.532,0.0502,0.416,0.22,0.11,1.322,1.15,2.842,1.52,2.67,0.1
2G01,Grassland,Grassland,Grassland,1,1,4/6/16,4/5/16,8.636,5.905,2.731,47.28,49.996,2.716,0.0498,0.409,0.2,0.108,1.014,0.86,2.544,1.53,2.39,0.104
2G02,Grassland,Grassland,Grassland,2,1,4/6/16,4/5/16,9.223,5.695,3.528,47.47,51.006,3.536,0.0497,0.4,0.2,0.099,1.134,0.98,2.664,1.53,2.51,0.102
2G03,Grassland,Grassland,Grassland,3,1,4/6/16,4/5/16,,5.86,,48.27,52.803,4.533,0.0506,0.393,0.224,0.113,1.028,0.86,2.538,1.51,2.37,0.104
2G04,Grassland,Grassland,Grassland,4,1,4/6/16,4/5/16,,5.89,,47.47,50.764,3.294,0.0498,0.419,0.255,0.146,1.08,0.94,2.61,1.53,2.47,0.145
2L01,Grassland,Grassland,,1,1,4/6/16,4/5/16,5.264,3.9,1.364,50.38,51.766,1.386,,,,0.103,0.999,0.85,2.499,1.5,2.35,0.101
2L02,Grassland,Grassland,,2,1,4/6/16,4/5/16,5.48,3.926,1.554,50.85,52.406,1.556,,,,0.104,1.062,0.91,2.572,1.51,2.42,0.096
