1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: CD000000329FE821,,
Is Mission Active?  true,,
Mission Start:  Mon Apr 04 12:01:00 PDT 2016,,
Sample Rate:  Every 240 minute(s),,
Number of Mission Samples:  2286,,
Total Samples:  8496,,
Roll Over Enabled?  true,,
Roll Over Occurred?  Roll over has occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 ¥Ë_C,,
Low Temperature Alarm:  -40 ¥Ë_C,,
,,
Date/Time,Unit,Value
5/14/16 4:01,C,15
5/14/16 8:01,C,16.5
5/14/16 12:01,C,37.5
5/14/16 16:01,C,36.5
5/14/16 20:01,C,17.5
5/15/16 0:01,C,15.5
5/15/16 4:01,C,13.5
5/15/16 8:01,C,18.5
5/15/16 12:01,C,21
5/15/16 16:01,C,25
5/15/16 20:01,C,17.5
5/16/16 0:01,C,15.5
5/16/16 4:01,C,14
5/16/16 8:01,C,16
5/16/16 12:01,C,23
5/16/16 16:01,C,21.5
5/16/16 20:01,C,17
5/17/16 0:01,C,15
5/17/16 4:01,C,15
5/17/16 8:01,C,18.5
5/17/16 12:01,C,31.5
5/17/16 16:01,C,30
5/17/16 20:01,C,16
5/18/16 0:01,C,14.5
5/18/16 4:01,C,15.5
5/18/16 8:01,C,18
5/18/16 12:01,C,41
5/18/16 16:01,C,38
5/18/16 20:01,C,16.5
5/19/16 0:01,C,16.5
5/19/16 4:01,C,15.5
5/19/16 8:01,C,16.5
5/19/16 12:01,C,39
5/19/16 16:01,C,38.5
5/19/16 20:01,C,18.5
5/20/16 0:01,C,15.5
5/20/16 4:01,C,13.5
5/20/16 8:01,C,16.5
5/20/16 12:01,C,32.5
5/20/16 16:01,C,34
5/20/16 20:01,C,16
5/21/16 0:01,C,13.5
5/21/16 4:01,C,8
5/21/16 8:01,C,14.5
5/21/16 12:01,C,38
5/21/16 16:01,C,35
5/21/16 20:01,C,13
5/22/16 0:01,C,5.5
5/22/16 4:01,C,3
5/22/16 8:01,C,21
5/22/16 12:01,C,40
5/22/16 16:01,C,35.5
5/22/16 20:01,C,14
5/23/16 0:01,C,5.5
5/23/16 4:01,C,3.5
5/23/16 8:01,C,17
5/23/16 12:01,C,37
5/23/16 16:01,C,36.5
5/23/16 20:01,C,13.5
5/24/16 0:01,C,12
5/24/16 4:01,C,12.5
5/24/16 8:01,C,15.5
5/24/16 12:01,C,34
5/24/16 16:01,C,33
5/24/16 20:01,C,16.5
5/25/16 0:01,C,11
5/25/16 4:01,C,5
5/25/16 8:01,C,16
5/25/16 12:01,C,22.5
5/25/16 16:01,C,32
5/25/16 20:01,C,15.5
5/26/16 0:01,C,9
5/26/16 4:01,C,8
5/26/16 8:01,C,20.5
5/26/16 12:01,C,39.5
5/26/16 16:01,C,37.5
5/26/16 20:01,C,16
5/27/16 0:01,C,12.5
5/27/16 4:01,C,14.5
5/27/16 8:01,C,18
5/27/16 12:01,C,40.5
5/27/16 16:01,C,39
5/27/16 20:01,C,16.5
5/28/16 0:01,C,12.5
5/28/16 4:01,C,14.5
5/28/16 8:01,C,17
5/28/16 12:01,C,40.5
5/28/16 16:01,C,37.5
5/28/16 20:01,C,18
5/29/16 0:01,C,16.5
5/29/16 4:01,C,15
5/29/16 8:01,C,16.5
5/29/16 12:01,C,25.5
5/29/16 16:01,C,31
5/29/16 20:01,C,18
5/30/16 0:01,C,16
5/30/16 4:01,C,15.5
5/30/16 8:01,C,18
5/30/16 12:01,C,39.5
5/30/16 16:01,C,37.5
5/30/16 20:01,C,16.5
5/31/16 0:01,C,9.5
5/31/16 4:01,C,13.5
5/31/16 8:01,C,16.5
5/31/16 12:01,C,39
5/31/16 16:01,C,38.5
5/31/16 20:01,C,18.5
6/1/16 0:01,C,17
6/1/16 4:01,C,16
6/1/16 8:01,C,17.5
6/1/16 12:01,C,41
6/1/16 16:01,C,40
6/1/16 20:01,C,17.5
6/2/16 0:01,C,17.5
6/2/16 4:01,C,15.5
6/2/16 8:01,C,25
6/2/16 12:01,C,46
6/2/16 16:01,C,46
6/2/16 20:01,C,21
6/3/16 0:01,C,11
6/3/16 4:01,C,8
6/3/16 8:01,C,23
6/3/16 12:01,C,48.5
6/3/16 16:01,C,49
6/3/16 20:01,C,21
6/4/16 0:01,C,14
